"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Had to cut up my #driving #licence and post it to the #DVLA for renewal after 10 years.. Feel like I've lost a part of me!",FALSE,0,NA,2016-09-09 10:39:26,FALSE,NA,"774195502883667968",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","H_Y_Clayton",0,FALSE,FALSE,NA,NA
"2","The perils of renting a supercar - #cars... https://t.co/hicIPZiLqt ##Motoring #458 #America #automotive #Ferrari #rental #robferretti",FALSE,0,NA,2016-09-09 10:39:21,FALSE,NA,"774195482948165632",NA,"<a href=""http://winthecustomer.com/"" rel=""nofollow"">Win the Customer</a>","onlymotors",0,FALSE,FALSE,NA,NA
"3","RT @deeptiadlakha: #Transit is 10-times safer than #driving –and makes #communities safer, says @APTA_info report https://t.co/MNxxUSydJH v…",FALSE,0,NA,2016-09-09 10:38:37,FALSE,NA,"774195296800739328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","neil_galway",1,TRUE,FALSE,NA,NA
"4","RT @proudfoot: @NorthCoast500 #Scottish #roadtrip, Badentarbat Bay and the Summer Isles viewed from Altandhu <ed><U+00A0><U+00BC><ed><U+00BF><U+009E><U+FE0F><ed><U+00A0><U+00BD><ed><U+00BA><U+0099> https://t.co/oRp1sB6uxS",FALSE,0,NA,2016-09-09 10:37:07,FALSE,NA,"774194921070817280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","travelwithakilt",10,TRUE,FALSE,NA,NA
"5","RT @fastlatheltd: Watch Fastlathe CNC Turning &amp; Milling video on #Vimeo https://t.co/e57Q7Fmmcd
#EngineeringUK #ManufacturingUK #Automotive…",FALSE,0,NA,2016-09-09 10:35:42,FALSE,NA,"774194564055830528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ManufacturingHQ",1,TRUE,FALSE,NA,NA
"6","Operations Manager: Operations Manager Simoniz USA, is seeking a high energy Operations Man... https://t.co/thFhFhQbRW #jobs #automotive",FALSE,0,NA,2016-09-09 10:35:35,FALSE,NA,"774194533546414082",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","EmployMeFirst",0,FALSE,FALSE,NA,NA
"7","eBay: Ford Escort RS1600i https://t.co/jbkUKk6xKT #classiccars #cars https://t.co/HJnS4R8pXQ https://t.co/MrUROPdFLt",FALSE,0,NA,2016-09-09 10:35:13,FALSE,NA,"774194443326885888",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","UKClassicCars",0,FALSE,FALSE,NA,NA
"8","Watch Fastlathe CNC Turning &amp; Milling video on #Vimeo https://t.co/e57Q7Fmmcd
#EngineeringUK #ManufacturingUK #Automotive #Agricultural",FALSE,0,NA,2016-09-09 10:34:52,FALSE,NA,"774194354378403840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fastlatheltd",1,FALSE,FALSE,NA,NA
"9","@AdmiralUK she turned 21 last week, we got her a brand new car! Great way to celebrate your 21st",FALSE,0,"AdmiralUK",2016-09-09 10:34:08,FALSE,"773848884183465984","774194169971605504","2284842134","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KrazyMediaUK",0,FALSE,FALSE,NA,NA
"10","'#Drugs #fatalities overtake #car fatalities for the 1st time', writes @mpmon for @ConversationUK #stats #statistics https://t.co/pM8drQptxK",FALSE,0,NA,2016-09-09 10:34:05,FALSE,NA,"774194158361841664",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","lborouniPR",0,FALSE,FALSE,NA,NA
"11","@theLowCVP @innovateuk @lcv_event #Henry #Ford #Invented #Innovated Ford #Motor #Car and now #Happy #Customers can buy a #Rolls #Royce",FALSE,0,"theLowCVP",2016-09-09 10:33:49,FALSE,"773908168560766976","774194091374604288","138712023","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BBENsuccess",0,FALSE,FALSE,NA,NA
"12","Feel like I'm driving a new car after having mine valeted this morning <ed><U+00A0><U+00BD><ed><U+00BA><U+0097><U+2728>",FALSE,0,NA,2016-09-09 10:33:10,FALSE,NA,"774193926219661312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","georgeesaunders",0,FALSE,FALSE,NA,NA
"13","RT @proudfoot: @NorthCoast500 #Scottish #roadtrip, Badentarbat Bay and the Summer Isles viewed from Altandhu <ed><U+00A0><U+00BC><ed><U+00BF><U+009E><U+FE0F><ed><U+00A0><U+00BD><ed><U+00BA><U+0099> https://t.co/oRp1sB6uxS",FALSE,0,NA,2016-09-09 10:31:42,FALSE,NA,"774193556076519424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CaledonianLight",10,TRUE,FALSE,NA,NA
"14","RT @safety_hub: Will the UK pioneer Self-Driving #Cars and Safer Roads? Coventry could have the answer. https://t.co/dKa3U0xZ2y https://t.c…",FALSE,0,NA,2016-09-09 10:31:39,FALSE,NA,"774193544420585472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CoventryUpdate",1,TRUE,FALSE,NA,NA
"16","Make your fuel go further with these driving tips - https://t.co/PXKTgW4dyX #Cars #Fuel #Eco #Vehicles https://t.co/finSY2Jnzp",FALSE,1,NA,2016-09-09 10:30:15,FALSE,NA,"774193191746699264",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Arval_UK",0,FALSE,FALSE,NA,NA
"17","@UKVolkswagen dancing around the kitchen! Build date for new #VWGOLF #GTD confirmed!

*punches air

#newcar #beyondexcited #VW",FALSE,1,"UKVolkswagen",2016-09-09 10:30:12,FALSE,NA,"774193179201531904","196609435","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NaomiCook4",0,FALSE,FALSE,NA,NA
"18","The Hyundai i30 Makes Us Crave For A New Elantra GT #supercars #cars https://t.co/AD0bqPyoc8",FALSE,0,NA,2016-09-09 10:30:10,FALSE,NA,"774193170053685248",NA,"<a href=""http://masterphotographytoday.com"" rel=""nofollow"">masterphotographytoday</a>","weloveourcars",0,FALSE,FALSE,NA,NA
"19","Muscle Car Of The Week Video Episode #157: 1968 Plymouth Road Runner 426 Hemi #musclecars  #musclecar  #cars https://t.co/QQFbGYuKrg",FALSE,0,NA,2016-09-09 10:30:08,FALSE,NA,"774193163846115328",NA,"<a href=""http://masterphotographytoday.com"" rel=""nofollow"">masterphotographytoday</a>","weloveourcars",0,FALSE,FALSE,NA,NA
"20","We are looking at possibly buying a new car - the commitment of it is filling me with fear!",FALSE,0,NA,2016-09-09 10:30:05,FALSE,NA,"774193152186023936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kath606",0,FALSE,FALSE,NA,NA
"21","How do you calculate wear and tear on a car per journey? Anyone know #Cars #Cost",FALSE,0,NA,2016-09-09 10:29:25,FALSE,NA,"774192983759609856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dizzydianajo1",0,FALSE,FALSE,NA,NA
"22","https://t.co/HdcSwylNHH ""Booming job market for #manufacturing &amp; #Motoring but harder times for #banking &amp; #Engineering. #recruitment #HR",FALSE,0,NA,2016-09-09 10:28:01,FALSE,NA,"774192631203102720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DarrenFlynn8",0,FALSE,FALSE,NA,NA
"23","Just got the reg for my new car and it has 'Faye' backwards in it, how strange!",FALSE,0,NA,2016-09-09 10:27:23,FALSE,NA,"774192472801079296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FuneralSong",0,FALSE,FALSE,NA,NA
"24","Lancia rallies into Cheshire https://t.co/6JEZLbzPVw #lancia #classiccarclub #Cheshire #enzari #cars #autoitaliane https://t.co/hCRuw0zkc2",FALSE,0,NA,2016-09-09 10:27:17,FALSE,NA,"774192444934160384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","officialenzari",0,FALSE,FALSE,NA,NA
"25","eBay: MG MIDGET 1500, Black, Manual, Petrol, 1979 https://t.co/9NJUe8YfBa #classiccars #cars https://t.co/HJnS4R8pXQ https://t.co/n3lXVRbiCs",FALSE,1,NA,2016-09-09 10:26:45,FALSE,NA,"774192309466312704",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","UKClassicCars",1,FALSE,FALSE,NA,NA
"26","eBay: TRIUMPH STAG Mark 1, Yellow, Manual Over… https://t.co/PDT1BIt8Jh #classiccars #cars https://t.co/HJnS4R8pXQ https://t.co/IiFqgD8QaI",FALSE,2,NA,2016-09-09 10:26:43,FALSE,NA,"774192304433143808",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","UKClassicCars",1,FALSE,FALSE,NA,NA
"27","eBay: MORRIS MINOR TRAVELLER, Brown, Manual,… https://t.co/pCAabYJloQ #classiccars #cars https://t.co/HJnS4R8pXQ https://t.co/x1CNzi5jhk",FALSE,1,NA,2016-09-09 10:26:42,FALSE,NA,"774192299676794880",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","UKClassicCars",0,FALSE,FALSE,NA,NA
